symbol,date,high,low,close,volume,ema50,ema200,rsi,return_1m,return_3m,return_6m,avg_volume_30,volume_expansion
360ONE,2026-05-25,1144.4,1119.1,1142.4,725309,,,,,,,,
3MINDIA,2026-05-25,34300.0,33185.0,33615.0,13508,,,,,,,,
AADHARHFC,2026-05-25,480.7,468.5,473.25,417629,,,,,,,,
AARTIIND,2026-05-25,487.9,477.9,482.6,418896,,,,,,,,
AAVAS,2026-05-25,1416.7,1361.9,1375.0,37767,,,,,,,,
ABB,2026-05-25,6826.0,6712.5,6755.0,263153,,,,,,,,
ABBOTINDIA,2026-05-25,27965.0,27400.0,27705.0,11197,,,,,,,,
ABCAPITAL,2026-05-25,364.95,360.0,363.65,2791387,,,,,,,,
ABDL,2026-05-25,547.15,534.0,536.0,145903,,,,,,,,
ABFRL,2026-05-25,69.0,67.05,67.36,3625639,,,,,,,,
ABLBL,2026-05-25,104.0,102.02,102.39,391645,,,,,,,,
ABREL,2026-05-25,1307.6,1255.3,1285.8,218318,,,,,,,,
ABSLAMC,2026-05-25,1047.1,1005.0,1016.2,406460,,,,,,,,
ACC,2026-05-25,1394.1,1365.7,1382.3,184811,,,,,,,,
ACE,2026-05-25,907.7,884.0,885.45,220584,,,,,,,,
ACMESOLAR,2026-05-25,303.5,286.85,300.6,3592647,,,,,,,,
ACUTAAS,2026-05-25,2963.3,2864.2,2923.8,333972,,,,,,,,
ADANIENSOL,2026-05-25,1412.0,1357.6,1404.3,3046325,,,,,,,,
ADANIENT,2026-05-25,2858.8,2739.3,2849.7,3277924,,,,,,,,
ADANIGREEN,2026-05-25,1420.7,1365.8,1411.1,4194567,,,,,,,,
ADANIPORTS,2026-05-25,1813.3,1793.0,1802.9,1516143,,,,,,,,
ADANIPOWER,2026-05-25,234.6,220.31,233.38,73847208,,,,,,,,
AEGISLOG,2026-05-25,741.1,726.0,730.95,433218,,,,,,,,
AEGISVOPAK,2026-05-25,213.7,205.36,207.88,633853,,,,,,,,
AFCONS,2026-05-25,305.5,301.25,303.05,250115,,,,,,,,
AFFLE,2026-05-25,1484.4,1439.9,1468.2,196288,,,,,,,,
AIAENG,2026-05-25,4090.0,3932.7,3972.8,28184,,,,,,,,
AIIL,2026-05-25,520.85,493.0,502.85,359183,,,,,,,,
AJANTPHARM,2026-05-25,3137.3,3070.0,3081.5,48670,,,,,,,,
ALKEM,2026-05-25,5485.0,5388.5,5400.5,41636,,,,,,,,
AMBER,2026-05-25,7515.0,7374.5,7461.5,383538,,,,,,,,
AMBUJACEM,2026-05-25,444.65,437.1,441.95,3029764,,,,,,,,
ANANDRATHI,2026-05-25,3640.0,3580.2,3617.3,191835,,,,,,,,
ANANTRAJ,2026-05-25,514.05,506.0,507.5,912547,,,,,,,,
ANGELONE,2026-05-25,348.7,342.0,346.45,8423076,,,,,,,,
ANTHEM,2026-05-25,786.4,761.25,765.35,393832,,,,,,,,
ANURAS,2026-05-25,1390.0,1341.3,1371.1,490980,,,,,,,,
APARINDS,2026-05-25,13079.0,12412.0,12480.0,93225,,,,,,,,
APLAPOLLO,2026-05-25,1908.9,1875.0,1898.6,622447,,,,,,,,
APOLLOHOSP,2026-05-25,8443.0,8375.0,8404.0,364945,,,,,,,,
APOLLOTYRE,2026-05-25,392.9,375.0,388.35,3668821,,,,,,,,
APTUS,2026-05-25,267.4,261.75,262.55,525433,,,,,,,,
ARE&M,2026-05-25,897.5,825.2,883.4,7833748,,,,,,,,
ASAHIINDIA,2026-05-25,866.0,850.2,853.05,43580,,,,,,,,
ASHOKLEY,2026-05-25,165.8,160.1,164.08,30680951,,,,,,,,
ASIANPAINT,2026-05-25,2684.1,2653.2,2657.8,815621,,,,,,,,
ASTERDM,2026-05-25,767.6,742.0,746.9,414424,,,,,,,,
ASTRAL,2026-05-25,1566.6,1540.5,1552.3,434838,,,,,,,,
ATGL,2026-05-25,666.9,652.8,659.15,3301936,,,,,,,,
ATHERENERG,2026-05-25,925.0,876.45,921.4,3724909,,,,,,,,
ATUL,2026-05-25,7099.0,7000.0,7039.5,14184,,,,,,,,
AUBANK,2026-05-25,1007.5,986.1,999.3,1494101,,,,,,,,
AUROPHARMA,2026-05-25,1465.0,1428.0,1454.6,2684468,,,,,,,,
AWL,2026-05-25,198.1,192.33,193.06,1955714,,,,,,,,
AXISBANK,2026-05-25,1314.5,1293.9,1311.2,5671455,,,,,,,,
BAJAJ-AUTO,2026-05-25,10770.0,10431.0,10491.0,564521,,,,,,,,
BAJAJFINSV,2026-05-25,1811.8,1783.0,1807.4,456676,,,,,,,,
BAJAJHFL,2026-05-25,83.88,82.91,83.3,4474226,,,,,,,,
BAJAJHLDNG,2026-05-25,10741.0,10535.0,10642.0,33285,,,,,,,,
BAJFINANCE,2026-05-25,944.0,924.45,941.9,7065528,,,,,,,,
BALKRISIND,2026-05-25,2248.9,2210.1,2219.1,94164,,,,,,,,
