SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,26-Jun-2025,1190.00,1202.00,1202.95,1147.10,1168.00,1164.85,1169.91,1806780,21137.62,87168,1024937,56.73
3MINDIA,EQ,26-Jun-2025,28500.00,28695.00,28740.00,28540.00,28540.00,28605.00,28620.21,1983,567.54,1074,1106,55.77
AADHARHFC,EQ,26-Jun-2025,441.50,440.00,445.90,438.50,445.50,444.00,442.73,346045,1532.06,18770,214243,61.91
AARTIIND,EQ,26-Jun-2025,470.60,471.50,476.85,470.20,475.00,475.90,473.89,1516181,7185.10,30258,571114,37.67
AAVAS,EQ,26-Jun-2025,1881.20,1885.00,1989.40,1872.10,1940.90,1942.60,1943.09,301739,5863.05,30792,99137,32.86
ABB,EQ,26-Jun-2025,5966.50,5985.00,6025.00,5953.00,6007.00,6012.50,5999.08,110098,6604.87,17577,48858,44.38
ABBOTINDIA,EQ,26-Jun-2025,31680.00,31680.00,33255.00,31605.00,33210.00,33055.00,32790.92,30735,10078.29,13253,12626,41.08
ABCAPITAL,EQ,26-Jun-2025,272.33,272.33,278.05,271.96,277.06,276.80,274.72,7848468,21560.99,77181,4196547,53.47
ABDL,EQ,26-Jun-2025,432.45,437.00,443.00,421.80,436.50,435.25,433.64,501072,2172.83,20792,201702,40.25
ABFRL,EQ,26-Jun-2025,74.84,74.86,75.27,73.53,74.48,74.39,74.16,6089378,4516.00,28089,2511255,41.24
ABREL,EQ,26-Jun-2025,2358.50,2358.50,2378.10,2321.50,2328.00,2334.50,2348.67,74240,1743.65,9865,26865,36.19
ABSLAMC,EQ,26-Jun-2025,778.35,783.50,788.80,770.00,775.05,777.10,775.95,149204,1157.75,18858,74559,49.97
ACC,EQ,26-Jun-2025,1854.20,1859.90,1887.90,1856.50,1884.80,1881.70,1871.49,538191,10072.20,36197,256418,47.64
ACE,EQ,26-Jun-2025,1216.50,1228.00,1228.00,1213.00,1220.10,1224.30,1220.56,100707,1229.19,9101,50818,50.46
ACMESOLAR,EQ,26-Jun-2025,248.20,253.15,255.00,245.05,246.30,246.50,249.82,683531,1707.57,16473,247429,36.20
ACUTAAS,EQ,26-Jun-2025,1086.40,1083.00,1108.80,1059.00,1104.00,1105.70,1079.64,567403,6125.89,52642,333472,58.77
ADANIENSOL,EQ,26-Jun-2025,850.20,854.25,866.50,851.00,863.00,864.75,858.15,2717149,23317.24,49949,1409842,51.89
ADANIENT,EQ,26-Jun-2025,2527.20,2535.00,2593.60,2522.20,2580.00,2586.20,2559.96,1339627,34293.93,57666,492519,36.77
ADANIGREEN,EQ,26-Jun-2025,981.10,984.00,993.50,976.10,991.00,992.00,985.54,2254782,22221.86,50216,597421,26.50
ADANIPORTS,EQ,26-Jun-2025,1393.10,1399.00,1433.00,1395.20,1425.50,1429.30,1421.02,2877806,40894.13,87040,1214276,42.19
ADANIPOWER,EQ,26-Jun-2025,557.00,559.00,580.40,558.00,578.90,578.15,571.01,6123781,34967.45,89030,2369186,38.69
AEGISLOG,EQ,26-Jun-2025,796.10,797.00,844.00,797.00,827.65,825.40,826.13,2157366,17822.73,78516,575464,26.67
